[2026-01-05 16:02:49,257] 18 root - INFO - Initiate the data ingestion
[2026-01-05 16:02:51,696] 59 root - INFO - performed train test split on the dataframe
[2026-01-05 16:02:51,696] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-05 16:02:51,696] 64 root - INFO - Exporting train and test file path
[2026-01-05 16:02:51,726] 72 root - INFO - exported train and test file path
[2026-01-05 16:02:51,726] 21 root - INFO - Data Inititation Completed
[2026-01-05 16:02:51,728] 24 root - INFO - Initiate data validation
[2026-01-05 16:02:51,739] 93 root - INFO - Required number of columns : 2
[2026-01-05 16:02:51,739] 94 root - INFO - Dataframe has columns : 31
[2026-01-05 16:02:51,739] 93 root - INFO - Required number of columns : 2
[2026-01-05 16:02:51,739] 94 root - INFO - Dataframe has columns : 31
[2026-01-05 16:02:51,815] 26 root - INFO - data validation completed
[2026-01-05 16:02:51,815] 29 root - INFO - data transformation started
[2026-01-05 16:02:51,815] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-05 16:02:51,815] 69 root - INFO - starting data transformation
