[2026-01-17 00:49:35,040] 19 root - INFO - Initiate the data ingestion
[2026-01-17 00:49:37,132] 59 root - INFO - performed train test split on the dataframe
[2026-01-17 00:49:37,132] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-17 00:49:37,132] 64 root - INFO - Exporting train and test file path
[2026-01-17 00:49:37,175] 72 root - INFO - exported train and test file path
[2026-01-17 00:49:37,175] 22 root - INFO - Data Inititation Completed
[2026-01-17 00:49:37,178] 25 root - INFO - Initiate data validation
[2026-01-17 00:49:37,189] 106 root - INFO - Required number of columns : 31
[2026-01-17 00:49:37,189] 107 root - INFO - Dataframe has columns : 31
[2026-01-17 00:49:37,189] 106 root - INFO - Required number of columns : 31
[2026-01-17 00:49:37,189] 107 root - INFO - Dataframe has columns : 31
[2026-01-17 00:49:37,276] 27 root - INFO - data validation completed
[2026-01-17 00:49:37,276] 30 root - INFO - data transformation started
[2026-01-17 00:49:37,276] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-17 00:49:37,276] 69 root - INFO - starting data transformation
[2026-01-17 00:49:37,286] 50 root - INFO - Enter get_data_transformer_object method of Transformation class
[2026-01-17 00:49:37,286] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-17 00:49:37,292] 50 root - INFO - entered the save_object method of MainUtils class
[2026-01-17 00:49:37,299] 54 root - INFO - Exited the save_object method of MainUtils class
[2026-01-17 00:49:37,300] 34 root - INFO - data transformation is completed
[2026-01-17 00:49:37,300] 36 root - INFO - Model training is started 
[2026-01-17 00:51:39,468] 50 root - INFO - entered the save_object method of MainUtils class
[2026-01-17 00:51:39,473] 54 root - INFO - Exited the save_object method of MainUtils class
[2026-01-17 00:51:39,473] 153 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/49_17_2026_00_49_33/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9901692510388163, precision_score=0.9870680945645585, recall_score=0.9932899552663684), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9794437726723095, precision_score=0.9782608695652174, recall_score=0.9806295399515739))
[2026-01-17 00:51:39,474] 41 root - INFO - Model Training Artifact Completed
