[2026-01-05 17:15:53,268] 18 root - INFO - Initiate the data ingestion
[2026-01-05 17:15:55,698] 59 root - INFO - performed train test split on the dataframe
[2026-01-05 17:15:55,698] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-05 17:15:55,698] 64 root - INFO - Exporting train and test file path
[2026-01-05 17:15:55,729] 72 root - INFO - exported train and test file path
[2026-01-05 17:15:55,729] 21 root - INFO - Data Inititation Completed
[2026-01-05 17:15:55,731] 24 root - INFO - Initiate data validation
[2026-01-05 17:15:55,742] 106 root - INFO - Required number of columns : 31
[2026-01-05 17:15:55,742] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:15:55,742] 106 root - INFO - Required number of columns : 31
[2026-01-05 17:15:55,742] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:15:55,821] 26 root - INFO - data validation completed
