[2026-01-17 00:57:51,340] 19 root - INFO - Initiate the data ingestion
[2026-01-17 00:57:53,559] 59 root - INFO - performed train test split on the dataframe
[2026-01-17 00:57:53,559] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-17 00:57:53,559] 64 root - INFO - Exporting train and test file path
[2026-01-17 00:57:53,603] 72 root - INFO - exported train and test file path
[2026-01-17 00:57:53,603] 22 root - INFO - Data Inititation Completed
[2026-01-17 00:57:53,608] 25 root - INFO - Initiate data validation
[2026-01-17 00:57:53,630] 106 root - INFO - Required number of columns : 31
[2026-01-17 00:57:53,630] 107 root - INFO - Dataframe has columns : 31
[2026-01-17 00:57:53,630] 106 root - INFO - Required number of columns : 31
[2026-01-17 00:57:53,630] 107 root - INFO - Dataframe has columns : 31
[2026-01-17 00:57:53,744] 27 root - INFO - data validation completed
[2026-01-17 00:57:53,745] 30 root - INFO - data transformation started
[2026-01-17 00:57:53,745] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-17 00:57:53,745] 69 root - INFO - starting data transformation
[2026-01-17 00:57:53,754] 50 root - INFO - Enter get_data_transformer_object method of Transformation class
[2026-01-17 00:57:53,754] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-17 00:57:53,763] 50 root - INFO - entered the save_object method of MainUtils class
[2026-01-17 00:57:53,769] 54 root - INFO - Exited the save_object method of MainUtils class
[2026-01-17 00:57:53,769] 34 root - INFO - data transformation is completed
[2026-01-17 00:57:53,769] 36 root - INFO - Model training is started 
[2026-01-17 00:59:53,968] 50 root - INFO - entered the save_object method of MainUtils class
[2026-01-17 00:59:53,980] 54 root - INFO - Exited the save_object method of MainUtils class
[2026-01-17 00:59:53,980] 153 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/57_17_2026_00_57_49/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912743506493507, precision_score=0.986669359725308, recall_score=0.9959225280326198), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9765407554671968, precision_score=0.9722882026920031, recall_score=0.9808306709265175))
[2026-01-17 00:59:53,982] 41 root - INFO - Model Training Artifact Completed
