[2026-01-05 17:13:02,520] 18 root - INFO - Initiate the data ingestion
[2026-01-05 17:13:04,795] 59 root - INFO - performed train test split on the dataframe
[2026-01-05 17:13:04,795] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-05 17:13:04,795] 64 root - INFO - Exporting train and test file path
[2026-01-05 17:13:04,825] 72 root - INFO - exported train and test file path
[2026-01-05 17:13:04,825] 21 root - INFO - Data Inititation Completed
[2026-01-05 17:13:04,830] 24 root - INFO - Initiate data validation
[2026-01-05 17:13:04,839] 106 root - INFO - Required number of columns : 2
[2026-01-05 17:13:04,839] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:13:04,839] 106 root - INFO - Required number of columns : 2
[2026-01-05 17:13:04,839] 107 root - INFO - Dataframe has columns : 31
