[2026-01-05 17:17:29,572] 18 root - INFO - Initiate the data ingestion
[2026-01-05 17:17:31,961] 59 root - INFO - performed train test split on the dataframe
[2026-01-05 17:17:31,961] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-05 17:17:31,961] 64 root - INFO - Exporting train and test file path
[2026-01-05 17:17:31,990] 72 root - INFO - exported train and test file path
[2026-01-05 17:17:31,991] 21 root - INFO - Data Inititation Completed
[2026-01-05 17:17:31,995] 24 root - INFO - Initiate data validation
[2026-01-05 17:17:32,004] 106 root - INFO - Required number of columns : 31
[2026-01-05 17:17:32,004] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:17:32,004] 106 root - INFO - Required number of columns : 31
[2026-01-05 17:17:32,004] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:17:32,080] 26 root - INFO - data validation completed
[2026-01-05 17:17:32,081] 29 root - INFO - data transformation started
[2026-01-05 17:17:32,081] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-05 17:17:32,081] 69 root - INFO - starting data transformation
[2026-01-05 17:17:32,090] 50 root - INFO - Enter get_data_transformer_object method of Transformation class
[2026-01-05 17:17:32,090] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
