[2026-01-05 17:22:53,519] 18 root - INFO - Initiate the data ingestion
[2026-01-05 17:22:55,657] 59 root - INFO - performed train test split on the dataframe
[2026-01-05 17:22:55,657] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-05 17:22:55,657] 64 root - INFO - Exporting train and test file path
[2026-01-05 17:22:55,686] 72 root - INFO - exported train and test file path
[2026-01-05 17:22:55,686] 21 root - INFO - Data Inititation Completed
[2026-01-05 17:22:55,689] 24 root - INFO - Initiate data validation
[2026-01-05 17:22:55,699] 106 root - INFO - Required number of columns : 31
[2026-01-05 17:22:55,699] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:22:55,699] 106 root - INFO - Required number of columns : 31
[2026-01-05 17:22:55,699] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:22:55,776] 26 root - INFO - data validation completed
[2026-01-05 17:22:55,776] 29 root - INFO - data transformation started
[2026-01-05 17:22:55,776] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-05 17:22:55,776] 69 root - INFO - starting data transformation
[2026-01-05 17:22:55,786] 50 root - INFO - Enter get_data_transformer_object method of Transformation class
[2026-01-05 17:22:55,786] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-05 17:22:55,792] 47 root - INFO - entered the save_object method of MainUtils class
[2026-01-05 17:22:55,797] 51 root - INFO - Exited the save_object method of MainUtils class
