[2026-01-05 17:24:40,093] 18 root - INFO - Initiate the data ingestion
[2026-01-05 17:24:42,178] 59 root - INFO - performed train test split on the dataframe
[2026-01-05 17:24:42,178] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-05 17:24:42,178] 64 root - INFO - Exporting train and test file path
[2026-01-05 17:24:42,207] 72 root - INFO - exported train and test file path
[2026-01-05 17:24:42,207] 21 root - INFO - Data Inititation Completed
[2026-01-05 17:24:42,209] 24 root - INFO - Initiate data validation
[2026-01-05 17:24:42,218] 106 root - INFO - Required number of columns : 31
[2026-01-05 17:24:42,218] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:24:42,218] 106 root - INFO - Required number of columns : 31
[2026-01-05 17:24:42,218] 107 root - INFO - Dataframe has columns : 31
[2026-01-05 17:24:42,299] 26 root - INFO - data validation completed
[2026-01-05 17:24:42,299] 29 root - INFO - data transformation started
[2026-01-05 17:24:42,299] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-05 17:24:42,299] 69 root - INFO - starting data transformation
[2026-01-05 17:24:42,308] 50 root - INFO - Enter get_data_transformer_object method of Transformation class
[2026-01-05 17:24:42,308] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-05 17:24:42,312] 47 root - INFO - entered the save_object method of MainUtils class
[2026-01-05 17:24:42,313] 51 root - INFO - Exited the save_object method of MainUtils class
