[2026-01-17 00:06:10,111] 19 root - INFO - Initiate the data ingestion
[2026-01-17 00:06:12,785] 59 root - INFO - performed train test split on the dataframe
[2026-01-17 00:06:12,785] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-17 00:06:12,785] 64 root - INFO - Exporting train and test file path
[2026-01-17 00:06:12,821] 72 root - INFO - exported train and test file path
[2026-01-17 00:06:12,822] 22 root - INFO - Data Inititation Completed
[2026-01-17 00:06:12,824] 25 root - INFO - Initiate data validation
[2026-01-17 00:06:12,836] 106 root - INFO - Required number of columns : 31
[2026-01-17 00:06:12,836] 107 root - INFO - Dataframe has columns : 31
[2026-01-17 00:06:12,836] 106 root - INFO - Required number of columns : 31
[2026-01-17 00:06:12,836] 107 root - INFO - Dataframe has columns : 31
[2026-01-17 00:06:12,936] 27 root - INFO - data validation completed
[2026-01-17 00:06:12,936] 30 root - INFO - data transformation started
[2026-01-17 00:06:12,936] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-17 00:06:12,936] 69 root - INFO - starting data transformation
[2026-01-17 00:06:12,946] 50 root - INFO - Enter get_data_transformer_object method of Transformation class
[2026-01-17 00:06:12,946] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-17 00:06:12,953] 50 root - INFO - entered the save_object method of MainUtils class
[2026-01-17 00:06:12,958] 54 root - INFO - Exited the save_object method of MainUtils class
[2026-01-17 00:06:12,958] 34 root - INFO - data transformation is completed
[2026-01-17 00:06:12,959] 36 root - INFO - Model training is started 
