[2026-01-05 15:51:54,822] 18 root - INFO - Initiate the data ingestion
[2026-01-05 15:51:57,252] 59 root - INFO - performed train test split on the dataframe
[2026-01-05 15:51:57,252] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-05 15:51:57,252] 64 root - INFO - Exporting train and test file path
[2026-01-05 15:51:57,282] 72 root - INFO - exported train and test file path
[2026-01-05 15:51:57,282] 21 root - INFO - Data Inititation Completed
[2026-01-05 15:51:57,284] 24 root - INFO - Initiate data validation
[2026-01-05 15:51:57,294] 93 root - INFO - Required number of columns : 2
[2026-01-05 15:51:57,294] 94 root - INFO - Dataframe has columns : 31
[2026-01-05 15:51:57,295] 93 root - INFO - Required number of columns : 2
[2026-01-05 15:51:57,295] 94 root - INFO - Dataframe has columns : 31
[2026-01-05 15:51:57,377] 26 root - INFO - data validation completed
