[2026-01-17 00:39:37,159] 19 root - INFO - Initiate the data ingestion
[2026-01-17 00:39:39,818] 59 root - INFO - performed train test split on the dataframe
[2026-01-17 00:39:39,818] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-17 00:39:39,818] 64 root - INFO - Exporting train and test file path
[2026-01-17 00:39:39,853] 72 root - INFO - exported train and test file path
[2026-01-17 00:39:39,853] 22 root - INFO - Data Inititation Completed
[2026-01-17 00:39:39,855] 25 root - INFO - Initiate data validation
[2026-01-17 00:39:39,871] 106 root - INFO - Required number of columns : 31
[2026-01-17 00:39:39,871] 107 root - INFO - Dataframe has columns : 31
[2026-01-17 00:39:39,871] 106 root - INFO - Required number of columns : 31
[2026-01-17 00:39:39,871] 107 root - INFO - Dataframe has columns : 31
[2026-01-17 00:39:39,963] 27 root - INFO - data validation completed
[2026-01-17 00:39:39,963] 30 root - INFO - data transformation started
[2026-01-17 00:39:39,963] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-17 00:39:39,963] 69 root - INFO - starting data transformation
[2026-01-17 00:39:39,973] 50 root - INFO - Enter get_data_transformer_object method of Transformation class
[2026-01-17 00:39:39,973] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-17 00:39:39,979] 50 root - INFO - entered the save_object method of MainUtils class
[2026-01-17 00:39:39,982] 54 root - INFO - Exited the save_object method of MainUtils class
[2026-01-17 00:39:39,982] 34 root - INFO - data transformation is completed
[2026-01-17 00:39:39,982] 36 root - INFO - Model training is started 
