[2026-01-05 16:09:36,513] 18 root - INFO - Initiate the data ingestion
[2026-01-05 16:09:38,774] 59 root - INFO - performed train test split on the dataframe
[2026-01-05 16:09:38,774] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2026-01-05 16:09:38,775] 64 root - INFO - Exporting train and test file path
[2026-01-05 16:09:38,804] 72 root - INFO - exported train and test file path
[2026-01-05 16:09:38,804] 21 root - INFO - Data Inititation Completed
[2026-01-05 16:09:38,806] 24 root - INFO - Initiate data validation
[2026-01-05 16:09:38,815] 93 root - INFO - Required number of columns : 2
[2026-01-05 16:09:38,815] 94 root - INFO - Dataframe has columns : 31
[2026-01-05 16:09:38,815] 93 root - INFO - Required number of columns : 2
[2026-01-05 16:09:38,815] 94 root - INFO - Dataframe has columns : 31
[2026-01-05 16:09:38,895] 26 root - INFO - data validation completed
[2026-01-05 16:09:38,895] 29 root - INFO - data transformation started
[2026-01-05 16:09:38,895] 67 root - INFO - entered initiate_data_Transformation of DataTransformation class
[2026-01-05 16:09:38,895] 69 root - INFO - starting data transformation
